GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sample Microservices,com.otel.sample.microservices.service.impl,ProductServiceImpl,0,55,0,0,0,13,0,3,0,3
Sample Microservices,com.otel.sample.microservices.service.impl,OrderServiceImpl,229,16,6,0,55,6,9,2,6,2
Sample Microservices,com.otel.sample.microservices.model,Order.OrderBuilder,70,0,0,0,11,0,11,0,11,0
Sample Microservices,com.otel.sample.microservices.model,Order,105,20,0,0,29,7,19,3,19,3
Sample Microservices,com.otel.sample.microservices.model,OrderResult,69,0,0,0,21,0,13,0,13,0
Sample Microservices,com.otel.sample.microservices.model,Product,0,45,0,0,0,16,0,9,0,9
Sample Microservices,com.otel.sample.microservices.dto,OrderRequest,57,0,0,0,16,0,11,0,11,0
Sample Microservices,com.otel.sample.microservices.dto,ProductResponse,0,12,0,0,0,1,0,1,0,1
Sample Microservices,com.otel.sample.microservices.dto,ProductRequest,0,9,0,0,0,1,0,1,0,1
Sample Microservices,com.otel.sample.microservices.config,RabbitMQConfig,0,28,0,0,0,5,0,5,0,5
Sample Microservices,com.otel.sample.microservices.messaging,ProductMessageConsumer,0,34,0,0,0,9,0,3,0,3
Sample Microservices,com.otel.sample.microservices.messaging,OrderMessageProducer,0,32,0,0,0,9,0,3,0,3
Sample Microservices,com.otel.sample.microservices.messaging,ProductMessageProducer,0,34,0,0,0,9,0,3,0,3
Sample Microservices,com.otel.sample.microservices.messaging,OrderMessageConsumer,41,10,0,0,9,4,1,2,1,2
Sample Microservices,com.otel.sample.microservices.controller,GlobalExceptionHandler,0,117,0,0,0,24,0,7,0,7
Sample Microservices,com.otel.sample.microservices.controller,HealthController,56,3,0,0,12,1,2,1,2,1
Sample Microservices,com.otel.sample.microservices.controller,ProductController,0,24,0,0,0,7,0,3,0,3
Sample Microservices,com.otel.sample.microservices.controller,OrderController,75,10,0,0,20,4,5,2,5,2
Sample Microservices,com.otel.sample.microservices.service,ProcessingStats,27,0,0,0,10,0,5,0,5,0
Sample Microservices,com.otel.sample.microservices,SampleMicroservicesApplication,5,3,0,0,2,1,1,1,1,1
Sample Microservices,com.otel.sample.microservices.repository,OrderRepository,76,8,0,0,16,2,11,1,11,1
Sample Microservices,com.otel.sample.microservices.repository,ProductRepository.ProductInfo,9,12,0,0,3,5,3,1,3,1
Sample Microservices,com.otel.sample.microservices.repository,ProductRepository,16,108,0,0,3,14,2,4,2,4
